timestamp,ip,method,url,status,size,raw,parsed,request,potential_threats,message,level,Anomaly_Flag
09/May/2025:10:01:50 +0000,192.168.1.14,DELETE,/api/resource,204.0,0.0,"192.168.1.14 - - [09/May/2025:10:01:50 +0000] ""DELETE /api/resource HTTP/1.1"" 204 0",True,DELETE /api/resource HTTP/1.1,,DELETE /api/resource HTTP/1.1,INFO,0
09/May/2025:10:01:55 +0000,192.168.1.15,HEAD,/,200.0,0.0,"192.168.1.15 - - [09/May/2025:10:01:55 +0000] ""HEAD / HTTP/1.1"" 200 0",True,HEAD / HTTP/1.1,,HEAD / HTTP/1.1,INFO,0
09/May/2025:10:02:00 +0000,192.168.1.10,OPTIONS,*,200.0,123.0,"192.168.1.10 - - [09/May/2025:10:02:00 +0000] ""OPTIONS * HTTP/1.0"" 200 123",True,OPTIONS * HTTP/1.0,,OPTIONS * HTTP/1.0,INFO,0
09/May/2025:10:02:05 +0000,192.168.1.11,TRACE,/,200.0,456.0,"192.168.1.11 - - [09/May/2025:10:02:05 +0000] ""TRACE / HTTP/1.1"" 200 456",True,TRACE / HTTP/1.1,,TRACE / HTTP/1.1,INFO,0
09/May/2025:10:02:10 +0000,192.168.1.12,CONNECT,www.example.com:443,200.0,0.0,"192.168.1.12 - - [09/May/2025:10:02:10 +0000] ""CONNECT www.example.com:443 HTTP/1.1"" 200 0",True,CONNECT www.example.com:443 HTTP/1.1,,CONNECT www.example.com:443 HTTP/1.1,INFO,0
09/May/2025:10:02:15 +0000,192.168.1.13,PATCH,/api/partial,200.0,789.0,"192.168.1.13 - - [09/May/2025:10:02:15 +0000] ""PATCH /api/partial HTTP/1.1"" 200 789",True,PATCH /api/partial HTTP/1.1,,PATCH /api/partial HTTP/1.1,INFO,0
09/May/2025:10:02:20 +0000,192.168.1.14,PROPFIND,/,207.0,321.0,"192.168.1.14 - - [09/May/2025:10:02:20 +0000] ""PROPFIND / HTTP/1.1"" 207 321",True,PROPFIND / HTTP/1.1,,PROPFIND / HTTP/1.1,INFO,0
09/May/2025:10:02:30 +0000,192.168.1.20,GET,/,200.0,1587.0,"192.168.1.20 - - [09/May/2025:10:02:30 +0000] ""GET / HTTP/1.1"" 200 1587",True,GET / HTTP/1.1,,GET / HTTP/1.1,INFO,0
09/May/2025:10:02:35 +0000,192.168.1.21,GET,/about.html,200.0,2145.0,"192.168.1.21 - - [09/May/2025:10:02:35 +0000] ""GET /about.html HTTP/1.1"" 200 2145",True,GET /about.html HTTP/1.1,,GET /about.html HTTP/1.1,INFO,0
09/May/2025:10:02:40 +0000,192.168.1.22,GET,/services,200.0,3210.0,"192.168.1.22 - - [09/May/2025:10:02:40 +0000] ""GET /services HTTP/1.1"" 200 3210",True,GET /services HTTP/1.1,,GET /services HTTP/1.1,INFO,0
09/May/2025:10:02:45 +0000,192.168.1.23,GET,/contact.php,200.0,1789.0,"192.168.1.23 - - [09/May/2025:10:02:45 +0000] ""GET /contact.php HTTP/1.1"" 200 1789",True,GET /contact.php HTTP/1.1,,GET /contact.php HTTP/1.1,INFO,0
09/May/2025:10:02:50 +0000,192.168.1.24,GET,/products,200.0,4567.0,"192.168.1.24 - - [09/May/2025:10:02:50 +0000] ""GET /products HTTP/1.1"" 200 4567",True,GET /products HTTP/1.1,,GET /products HTTP/1.1,INFO,0
09/May/2025:10:02:55 +0000,192.168.1.25,GET,/news,200.0,2890.0,"192.168.1.25 - - [09/May/2025:10:02:55 +0000] ""GET /news HTTP/1.1"" 200 2890",True,GET /news HTTP/1.1,,GET /news HTTP/1.1,INFO,0
09/May/2025:10:03:00 +0000,192.168.1.26,POST,/subscribe,200.0,567.0,"192.168.1.26 - - [09/May/2025:10:03:00 +0000] ""POST /subscribe HTTP/1.1"" 200 567",True,POST /subscribe HTTP/1.1,,POST /subscribe HTTP/1.1,INFO,0
09/May/2025:10:03:05 +0000,192.168.1.27,GET,/gallery,200.0,3456.0,"192.168.1.27 - - [09/May/2025:10:03:05 +0000] ""GET /gallery HTTP/1.1"" 200 3456",True,GET /gallery HTTP/1.1,,GET /gallery HTTP/1.1,INFO,0
09/May/2025:10:03:10 +0000,192.168.1.28,GET,/blog/article-1,200.0,6789.0,"192.168.1.28 - - [09/May/2025:10:03:10 +0000] ""GET /blog/article-1 HTTP/1.1"" 200 6789",True,GET /blog/article-1 HTTP/1.1,,GET /blog/article-1 HTTP/1.1,INFO,0
09/May/2025:10:03:15 +0000,192.168.1.29,GET,/blog/article-2,200.0,4321.0,"192.168.1.29 - - [09/May/2025:10:03:15 +0000] ""GET /blog/article-2 HTTP/1.1"" 200 4321",True,GET /blog/article-2 HTTP/1.1,,GET /blog/article-2 HTTP/1.1,INFO,0
09/May/2025:10:03:20 +0000,192.168.1.30,GET,/downloads/file.pdf,200.0,9876.0,"192.168.1.30 - - [09/May/2025:10:03:20 +0000] ""GET /downloads/file.pdf HTTP/1.1"" 200 9876",True,GET /downloads/file.pdf HTTP/1.1,,GET /downloads/file.pdf HTTP/1.1,INFO,0
09/May/2025:10:03:25 +0000,192.168.1.31,GET,/downloads/image.jpg,200.0,2345.0,"192.168.1.31 - - [09/May/2025:10:03:25 +0000] ""GET /downloads/image.jpg HTTP/1.1"" 200 2345",True,GET /downloads/image.jpg HTTP/1.1,,GET /downloads/image.jpg HTTP/1.1,INFO,0
09/May/2025:10:03:30 +0000,192.168.1.32,GET,/search?q=keyword,200.0,1890.0,"192.168.1.32 - - [09/May/2025:10:03:30 +0000] ""GET /search?q=keyword HTTP/1.1"" 200 1890",True,GET /search?q=keyword HTTP/1.1,,GET /search?q=keyword HTTP/1.1,INFO,0
09/May/2025:10:03:35 +0000,192.168.1.33,GET,/robots.txt,200.0,123.0,"192.168.1.33 - - [09/May/2025:10:03:35 +0000] ""GET /robots.txt HTTP/1.1"" 200 123",True,GET /robots.txt HTTP/1.1,,GET /robots.txt HTTP/1.1,INFO,0
09/May/2025:10:03:40 +0000,192.168.1.34,GET,/sitemap.xml,200.0,456.0,"192.168.1.34 - - [09/May/2025:10:03:40 +0000] ""GET /sitemap.xml HTTP/1.1"" 200 456",True,GET /sitemap.xml HTTP/1.1,,GET /sitemap.xml HTTP/1.1,INFO,0
09/May/2025:10:03:45 +0000,192.168.1.35,GET,/favicon.ico,200.0,789.0,"192.168.1.35 - - [09/May/2025:10:03:45 +0000] ""GET /favicon.ico HTTP/1.1"" 200 789",True,GET /favicon.ico HTTP/1.1,,GET /favicon.ico HTTP/1.1,INFO,0
09/May/2025:10:03:50 +0000,192.168.1.36,GET,/static/style.css,200.0,3210.0,"192.168.1.36 - - [09/May/2025:10:03:50 +0000] ""GET /static/style.css HTTP/1.1"" 200 3210",True,GET /static/style.css HTTP/1.1,,GET /static/style.css HTTP/1.1,INFO,0
09/May/2025:10:03:55 +0000,192.168.1.37,GET,/static/script.js,200.0,1598.0,"192.168.1.37 - - [09/May/2025:10:03:55 +0000] ""GET /static/script.js HTTP/1.1"" 200 1598",True,GET /static/script.js HTTP/1.1,,GET /static/script.js HTTP/1.1,INFO,0
09/May/2025:10:04:00 +0000,192.168.1.38,GET,/static/image.png,200.0,5874.0,"192.168.1.38 - - [09/May/2025:10:04:00 +0000] ""GET /static/image.png HTTP/1.1"" 200 5874",True,GET /static/image.png HTTP/1.1,,GET /static/image.png HTTP/1.1,INFO,0
09/May/2025:10:04:05 +0000,192.168.1.39,GET,/user/profile,200.0,2659.0,"192.168.1.39 - - [09/May/2025:10:04:05 +0000] ""GET /user/profile HTTP/1.1"" 200 2659",True,GET /user/profile HTTP/1.1,,GET /user/profile HTTP/1.1,INFO,0
09/May/2025:10:04:10 +0000,192.168.1.40,GET,/user/settings,200.0,1478.0,"192.168.1.40 - - [09/May/2025:10:04:10 +0000] ""GET /user/settings HTTP/1.1"" 200 1478",True,GET /user/settings HTTP/1.1,,GET /user/settings HTTP/1.1,INFO,0
09/May/2025:10:04:15 +0000,192.168.1.41,POST,/user/update,200.0,3698.0,"192.168.1.41 - - [09/May/2025:10:04:15 +0000] ""POST /user/update HTTP/1.1"" 200 3698",True,POST /user/update HTTP/1.1,,POST /user/update HTTP/1.1,INFO,0
09/May/2025:10:04:20 +0000,192.168.1.42,GET,/api/v1/data,200.0,7412.0,"192.168.1.42 - - [09/May/2025:10:04:20 +0000] ""GET /api/v1/data HTTP/1.1"" 200 7412",True,GET /api/v1/data HTTP/1.1,,GET /api/v1/data HTTP/1.1,INFO,0
09/May/2025:10:04:25 +0000,192.168.1.43,POST,/api/v1/submit,201.0,9630.0,"192.168.1.43 - - [09/May/2025:10:04:25 +0000] ""POST /api/v1/submit HTTP/1.1"" 201 9630",True,POST /api/v1/submit HTTP/1.1,,POST /api/v1/submit HTTP/1.1,INFO,0
09/May/2025:10:04:30 +0000,192.168.1.44,PUT,/api/v1/update/123,200.0,8521.0,"192.168.1.44 - - [09/May/2025:10:04:30 +0000] ""PUT /api/v1/update/123 HTTP/1.1"" 200 8521",True,PUT /api/v1/update/123 HTTP/1.1,,PUT /api/v1/update/123 HTTP/1.1,INFO,0
09/May/2025:10:04:35 +0000,192.168.1.45,DELETE,/api/v1/items/456,204.0,0.0,"192.168.1.45 - - [09/May/2025:10:04:35 +0000] ""DELETE /api/v1/items/456 HTTP/1.1"" 204 0",True,DELETE /api/v1/items/456 HTTP/1.1,,DELETE /api/v1/items/456 HTTP/1.1,INFO,0
09/May/2025:10:04:40 +0000,192.168.1.46,GET,/admin/dashboard,302.0,0.0,"192.168.1.46 - - [09/May/2025:10:04:40 +0000] ""GET /admin/dashboard HTTP/1.1"" 302 0",True,GET /admin/dashboard HTTP/1.1,,GET /admin/dashboard HTTP/1.1,INFO,0
09/May/2025:10:04:45 +0000,192.168.1.47,GET,/admin/users,401.0,654.0,"192.168.1.47 - - [09/May/2025:10:04:45 +0000] ""GET /admin/users HTTP/1.1"" 401 654",True,GET /admin/users HTTP/1.1,,GET /admin/users HTTP/1.1,INFO,1
09/May/2025:10:04:50 +0000,192.168.1.48,POST,/admin/login,200.0,987.0,"192.168.1.48 - - [09/May/2025:10:04:50 +0000] ""POST /admin/login HTTP/1.1"" 200 987",True,POST /admin/login HTTP/1.1,,POST /admin/login HTTP/1.1,INFO,0
09/May/2025:10:04:55 +0000,192.168.1.49,GET,/private/info,403.0,321.0,"192.168.1.49 - - [09/May/2025:10:04:55 +0000] ""GET /private/info HTTP/1.1"" 403 321",True,GET /private/info HTTP/1.1,,GET /private/info HTTP/1.1,INFO,1
09/May/2025:10:05:00 +0000,192.168.1.50,GET,/doesnotexist,404.0,789.0,"192.168.1.50 - - [09/May/2025:10:05:00 +0000] ""GET /doesnotexist HTTP/1.1"" 404 789",True,GET /doesnotexist HTTP/1.1,,GET /doesnotexist HTTP/1.1,INFO,0
09/May/2025:10:05:05 +0000,192.168.1.51,GET,/error,500.0,963.0,"192.168.1.51 - - [09/May/2025:10:05:05 +0000] ""GET /error HTTP/1.1"" 500 963",True,GET /error HTTP/1.1,,GET /error HTTP/1.1,INFO,1
,,,,,,"192.168.1.52 - - [09/May/2025:10:05:10 +0000] ""GET / HTTP/1.1"" 304 -",False,,,,INFO,0
09/May/2025:10:05:15 +0000,192.168.1.53,HEAD,/,200.0,0.0,"192.168.1.53 - - [09/May/2025:10:05:15 +0000] ""HEAD / HTTP/1.1"" 200 0",True,HEAD / HTTP/1.1,,HEAD / HTTP/1.1,INFO,0
09/May/2025:10:05:20 +0000,192.168.1.54,OPTIONS,*,200.0,456.0,"192.168.1.54 - - [09/May/2025:10:05:20 +0000] ""OPTIONS * HTTP/1.0"" 200 456",True,OPTIONS * HTTP/1.0,,OPTIONS * HTTP/1.0,INFO,0
09/May/2025:10:05:25 +0000,192.168.1.55,TRACE,/,200.0,123.0,"192.168.1.55 - - [09/May/2025:10:05:25 +0000] ""TRACE / HTTP/1.1"" 200 123",True,TRACE / HTTP/1.1,,TRACE / HTTP/1.1,INFO,0
09/May/2025:10:05:30 +0000,192.168.1.56,CONNECT,secure.example.com:443,200.0,0.0,"192.168.1.56 - - [09/May/2025:10:05:30 +0000] ""CONNECT secure.example.com:443 HTTP/1.1"" 200 0",True,CONNECT secure.example.com:443 HTTP/1.1,,CONNECT secure.example.com:443 HTTP/1.1,INFO,0
09/May/2025:10:05:35 +0000,192.168.1.57,PATCH,/api/data/123,200.0,654.0,"192.168.1.57 - - [09/May/2025:10:05:35 +0000] ""PATCH /api/data/123 HTTP/1.1"" 200 654",True,PATCH /api/data/123 HTTP/1.1,,PATCH /api/data/123 HTTP/1.1,INFO,0
09/May/2025:10:05:40 +0000,192.168.1.58,PROPFIND,/,207.0,987.0,"192.168.1.58 - - [09/May/2025:10:05:40 +0000] ""PROPFIND / HTTP/1.1"" 207 987",True,PROPFIND / HTTP/1.1,,PROPFIND / HTTP/1.1,INFO,0
09/May/2025:10:05:45 +0000,192.168.1.59,GET,/index.html,200.0,3210.0,"192.168.1.59 - - [09/May/2025:10:05:45 +0000] ""GET /index.html HTTP/1.1"" 200 3210",True,GET /index.html HTTP/1.1,,GET /index.html HTTP/1.1,INFO,0
09/May/2025:10:05:50 +0000,192.168.1.60,POST,/api/users,201.0,1598.0,"192.168.1.60 - - [09/May/2025:10:05:50 +0000] ""POST /api/users HTTP/1.1"" 201 1598",True,POST /api/users HTTP/1.1,,POST /api/users HTTP/1.1,INFO,0
09/May/2025:10:05:55 +0000,192.168.1.61,GET,/css/bootstrap.min.css,200.0,5874.0,"192.168.1.61 - - [09/May/2025:10:05:55 +0000] ""GET /css/bootstrap.min.css HTTP/1.1"" 200 5874",True,GET /css/bootstrap.min.css HTTP/1.1,,GET /css/bootstrap.min.css HTTP/1.1,INFO,0
09/May/2025:10:06:00 +0000,192.168.1.62,GET,/js/jquery.min.js,200.0,2659.0,"192.168.1.62 - - [09/May/2025:10:06:00 +0000] ""GET /js/jquery.min.js HTTP/1.1"" 200 2659",True,GET /js/jquery.min.js HTTP/1.1,,GET /js/jquery.min.js HTTP/1.1,INFO,0
09/May/2025:10:06:05 +0000,192.168.1.63,GET,/images/background.jpg,200.0,1478.0,"192.168.1.63 - - [09/May/2025:10:06:05 +0000] ""GET /images/background.jpg HTTP/1.1"" 200 1478",True,GET /images/background.jpg HTTP/1.1,,GET /images/background.jpg HTTP/1.1,INFO,0
09/May/2025:10:06:10 +0000,192.168.1.64,GET,/login,200.0,3698.0,"192.168.1.64 - - [09/May/2025:10:06:10 +0000] ""GET /login HTTP/1.1"" 200 3698",True,GET /login HTTP/1.1,,GET /login HTTP/1.1,INFO,0
09/May/2025:10:06:15 +0000,192.168.1.65,GET,/register,200.0,7412.0,"192.168.1.65 - - [09/May/2025:10:06:15 +0000] ""GET /register HTTP/1.1"" 200 7412",True,GET /register HTTP/1.1,,GET /register HTTP/1.1,INFO,0
09/May/2025:10:06:20 +0000,192.168.1.66,POST,/register,201.0,9630.0,"192.168.1.66 - - [09/May/2025:10:06:20 +0000] ""POST /register HTTP/1.1"" 201 9630",True,POST /register HTTP/1.1,,POST /register HTTP/1.1,INFO,0
09/May/2025:10:06:25 +0000,192.168.1.67,GET,/password-reset,200.0,8521.0,"192.168.1.67 - - [09/May/2025:10:06:25 +0000] ""GET /password-reset HTTP/1.1"" 200 8521",True,GET /password-reset HTTP/1.1,,GET /password-reset HTTP/1.1,INFO,0
09/May/2025:10:06:30 +0000,192.168.1.68,POST,/password-reset,200.0,654.0,"192.168.1.68 - - [09/May/2025:10:06:30 +0000] ""POST /password-reset HTTP/1.1"" 200 654",True,POST /password-reset HTTP/1.1,,POST /password-reset HTTP/1.1,INFO,0
09/May/2025:10:06:35 +0000,192.168.1.69,GET,/logout,302.0,0.0,"192.168.1.69 - - [09/May/2025:10:06:35 +0000] ""GET /logout HTTP/1.1"" 302 0",True,GET /logout HTTP/1.1,,GET /logout HTTP/1.1,INFO,0
09/May/2025:10:06:40 +0000,192.168.1.70,GET,/terms-of-service,200.0,987.0,"192.168.1.70 - - [09/May/2025:10:06:40 +0000] ""GET /terms-of-service HTTP/1.1"" 200 987",True,GET /terms-of-service HTTP/1.1,,GET /terms-of-service HTTP/1.1,INFO,0
09/May/2025:10:06:45 +0000,192.168.1.71,GET,/privacy-policy,200.0,3210.0,"192.168.1.71 - - [09/May/2025:10:06:45 +0000] ""GET /privacy-policy HTTP/1.1"" 200 3210",True,GET /privacy-policy HTTP/1.1,,GET /privacy-policy HTTP/1.1,INFO,0
09/May/2025:10:06:50 +0000,192.168.1.72,GET,/support,200.0,1598.0,"192.168.1.72 - - [09/May/2025:10:06:50 +0000] ""GET /support HTTP/1.1"" 200 1598",True,GET /support HTTP/1.1,,GET /support HTTP/1.1,INFO,0
09/May/2025:10:06:55 +0000,192.168.1.73,POST,/support/ticket,201.0,5874.0,"192.168.1.73 - - [09/May/2025:10:06:55 +0000] ""POST /support/ticket HTTP/1.1"" 201 5874",True,POST /support/ticket HTTP/1.1,,POST /support/ticket HTTP/1.1,INFO,0
09/May/2025:10:07:00 +0000,192.168.1.74,GET,/faq,200.0,2659.0,"192.168.1.74 - - [09/May/2025:10:07:00 +0000] ""GET /faq HTTP/1.1"" 200 2659",True,GET /faq HTTP/1.1,,GET /faq HTTP/1.1,INFO,0
09/May/2025:10:07:05 +0000,192.168.1.75,GET,/pricing,200.0,1478.0,"192.168.1.75 - - [09/May/2025:10:07:05 +0000] ""GET /pricing HTTP/1.1"" 200 1478",True,GET /pricing HTTP/1.1,,GET /pricing HTTP/1.1,INFO,0
09/May/2025:10:07:10 +0000,192.168.1.76,GET,/blog,200.0,3698.0,"192.168.1.76 - - [09/May/2025:10:07:10 +0000] ""GET /blog HTTP/1.1"" 200 3698",True,GET /blog HTTP/1.1,,GET /blog HTTP/1.1,INFO,0
09/May/2025:10:07:15 +0000,192.168.1.77,GET,/blog/,301.0,150.0,"192.168.1.77 - - [09/May/2025:10:07:15 +0000] ""GET /blog/ HTTP/1.1"" 301 150",True,GET /blog/ HTTP/1.1,,GET /blog/ HTTP/1.1,INFO,0
09/May/2025:10:07:20 +0000,192.168.1.78,GET,/blog/page/2,200.0,7412.0,"192.168.1.78 - - [09/May/2025:10:07:20 +0000] ""GET /blog/page/2 HTTP/1.1"" 200 7412",True,GET /blog/page/2 HTTP/1.1,,GET /blog/page/2 HTTP/1.1,INFO,0
09/May/2025:10:07:25 +0000,192.168.1.79,GET,/archive/2024,200.0,9630.0,"192.168.1.79 - - [09/May/2025:10:07:25 +0000] ""GET /archive/2024 HTTP/1.1"" 200 9630",True,GET /archive/2024 HTTP/1.1,,GET /archive/2024 HTTP/1.1,INFO,0
09/May/2025:10:07:30 +0000,192.168.1.80,GET,/archive/2023/may,200.0,8521.0,"192.168.1.80 - - [09/May/2025:10:07:30 +0000] ""GET /archive/2023/may HTTP/1.1"" 200 8521",True,GET /archive/2023/may HTTP/1.1,,GET /archive/2023/may HTTP/1.1,INFO,0
09/May/2025:10:07:35 +0000,192.168.1.81,GET,/search?query=test,200.0,654.0,"192.168.1.81 - - [09/May/2025:10:07:35 +0000] ""GET /search?query=test HTTP/1.1"" 200 654",True,GET /search?query=test HTTP/1.1,,GET /search?query=test HTTP/1.1,INFO,0
09/May/2025:10:07:40 +0000,192.168.1.82,GET,/search?q=another+term,200.0,987.0,"192.168.1.82 - - [09/May/2025:10:07:40 +0000] ""GET /search?q=another+term HTTP/1.1"" 200 987",True,GET /search?q=another+term HTTP/1.1,,GET /search?q=another+term HTTP/1.1,INFO,0
09/May/2025:10:07:45 +0000,192.168.1.83,GET,/rss.xml,200.0,3210.0,"192.168.1.83 - - [09/May/2025:10:07:45 +0000] ""GET /rss.xml HTTP/1.1"" 200 3210",True,GET /rss.xml HTTP/1.1,,GET /rss.xml HTTP/1.1,INFO,0
09/May/2025:10:07:50 +0000,192.168.1.84,GET,/atom.xml,200.0,1598.0,"192.168.1.84 - - [09/May/2025:10:07:50 +0000] ""GET /atom.xml HTTP/1.1"" 200 1598",True,GET /atom.xml HTTP/1.1,,GET /atom.xml HTTP/1.1,INFO,0
09/May/2025:10:07:55 +0000,192.168.1.85,GET,/feed,200.0,5874.0,"192.168.1.85 - - [09/May/2025:10:07:55 +0000] ""GET /feed HTTP/1.1"" 200 5874",True,GET /feed HTTP/1.1,,GET /feed HTTP/1.1,INFO,0
09/May/2025:10:08:00 +0000,192.168.1.86,GET,/newsletter,200.0,2659.0,"192.168.1.86 - - [09/May/2025:10:08:00 +0000] ""GET /newsletter HTTP/1.1"" 200 2659",True,GET /newsletter HTTP/1.1,,GET /newsletter HTTP/1.1,INFO,0
09/May/2025:10:08:05 +0000,192.168.1.87,POST,/newsletter/subscribe,201.0,1478.0,"192.168.1.87 - - [09/May/2025:10:08:05 +0000] ""POST /newsletter/subscribe HTTP/1.1"" 201 1478",True,POST /newsletter/subscribe HTTP/1.1,,POST /newsletter/subscribe HTTP/1.1,INFO,0
09/May/2025:10:08:10 +0000,192.168.1.88,GET,/events,200.0,3698.0,"192.168.1.88 - - [09/May/2025:10:08:10 +0000] ""GET /events HTTP/1.1"" 200 3698",True,GET /events HTTP/1.1,,GET /events HTTP/1.1,INFO,0
